0	DO NOT USE	0	0	0
1	K7 Main	5129	505	481
2	K64 Main	5129	490	509
3	K21 Main	5129	483	496
4	K8 Main	5129	491	464
5	K20Down Main	5129	472	463
6	K20Up Main	5129	471	455
7	K29 Main	5129	463	474
8	K23 Main	5129	460	455
9	K24 Main	5129	463	443
10	K64 Court	5130	491	506
11	K31A Court	5130	479	494
12	K25 Court	5130	502	477
13	K13 Court	5130	492	456
14	K20Down Court	5130	478	472
15	K20Up Court	5130	466	463
16	K34A Court	5130	462	451
17	K64 Larder	5133	487	508
18	K61 Larder	5133	477	495
19	K62 Larder	5133	457	474
20	K18A Dungeon	5134	483	478
21	K83 Dungeon	5134	525	455
22	K78 Dungeon	5134	533	454
23	K21 Dungeon	5134	498	490
24	K21 Weeping	5131	473	496
25	K45 Weeping	5131	507	462
26	K46Down Weeping	5131	475	474
27	K46Up Weeping	5131	461	466
28	K47 Spires	5132	511	490
29	K48-1 Spires	5132	510	485
30	K48-2 Spires	5132	486	485
31	K57 Spires	5132	460	483
32	K60A Spires	5132	450	459
33	K29 Court	5130	454	473
34	K20A Larder	5133	478	462
35	K19 Court	5130	522	471
36	K72 Larder	5133	494	451
37	K37A Weeping	5131	493	474
38	K18 Main	5129	467	500
39	K60B Spires	5132	489	465
40	K60A Spires2	5132	457	456
41	K64 Weeping	5131	481	504
42	K18Down Spires-1	5132	437	489
43	K18Up Spires-1	5132	444	485
44	K18A Spires-2	5132	438	476
45	K18Up Main	5129	465	487
