0	DO NOT USE	0	0	0
1	K7 Main	5129	505	481
2	K64 Main	5129	490	509
3	K21 Main	5129	483	496
4	K8 Main	5129	491	464
5	K20A Main	5129	472	463
6	K20 Main	5129	471	455
7	K29 Main	5129	463	474
8	K23 Main	5129	457	453
9	K24 Main	5129	463	443
10	K64 Court	5130	491	506
11	K31A Court	5130	479	494
12	K25 Court	5130	502	477
13	K13 Court	5130	492	456
14	K20A Court	5130	478	472
15	K20B Court	5130	466	463
16	K34A Court	5130	462	451
17	K64 Larder	5133	487	508
18	K61 Larder	5133	477	495
19	K62 Larder	5133	457	474
20	K18A Dungeon	5134	483	478
21	K83 Dungeon	5134	525	455
22	K78 Dungeon	5134	533	454
22	K21 Dungeon	5134	498	490
23	K21 Weeping	5131	473	496
24	K45 Weeping	5131	507	462
25	K46Down Weeping	5131	475	474
26	K46Up Weeping	5131	461	466
27	K47 Spires	5132	499	452
28	K48-1 Spires	5132	499	448
29	K48-2 Spires	5132	464	449
30	K57 Spires	5132	485	499
31	K60A Spires	5132	475	476
32	K29 Court	5130	454	473
33	K20A Larder	5133	478	462
34	K19 Court	5130	522	471
